20.01	885.617
21.56	911.933
21.75	910.05
21.93	909.95
22.1	915.233
22.28	908.767
22.08	753.35
21.85	736.083
21.73	723.917
21.62	711.683
21.51	695.75
21.43	687.35
21.33	676.5
21.25	665.567
21.14	657.617
21.07	640.117
19.86	492.4
17.36	280.367
15.86	175.1
13.6	66.0667
11.97	20.0333
7.47	-30.1667
0.45	-102.85
0.19	-103.683
-0.07	-103.767
-0.34	-107.183
-2.04	-138.033
-4.98	-192.55
-7.67	-253.15
-10.16	-337.617
-12.44	-438.2
-14.16	-528.583
-16.32	-649.117
-18.14	-737.017
-20.23	-827.167
-21.74	-858.2
-21.98	-862.783
-22.19	-865.2
-22.44	-870.483
-22.63	-844.1
-22.83	-787.917
-22.83	-778.083
-22.77	-767.883
-22.7	-757.2
-22.67	-747.117
-22.57	-738.417
-22.52	-728.6
-22.42	-716.983
-22.33	-706.2
-22.28	-693.067
-22.16	-686.25
-22.11	-668.9
-20.31	-450.033
-18.95	-332.283
-17.48	-231.1
-15.99	-142.217
-13.94	-62.2833
-12.22	-22.8667
-10.13	2.46667
-8.55	13.8667
-0.29	85.75
-0.03	82.3
1.04	94.3833
2.09	114.267
6.92	190.667
9.72	262.15
12.2	349.867
14.05	423.25
16.14	527.583
18.31	641.733
20.15	745.45
22.06	830.267
22.19	837.183
22.4	846.467
22.54	814.967
22.42	748.6
22.32	738.4
22.26	724.183
22.16	713.9
20.24	478.733
20.16	465.25
19.96	450.433
18.41	318.45
16.89	223.067
14.94	118.133
12.98	49.5167
10.98	10.8167
0.13	-66.4167
-0.12	-65.4667
-0.48	-67.15
-4.09	-108.217
-8.23	-168.933
-10.78	-222.3
-13.38	-300.967
-15.09	-368.717
-17.06	-459.75
-19.65	-600.567
-19.79	-614.933
-20.04	-623.05
-20.13	-632.467
-20.32	-643.55
-20.51	-650.983
-20.65	-664.583
-20.84	-669.95
-20.96	-681.517
-21.15	-692.5
-21.36	-700
-21.47	-713.017
-21.69	-723.317
-21.92	-730.533
-22.02	-742.783
-22.23	-750.667
-22.25	-729.867
-22.37	-705.533
-22.37	-710.817
-22.37	-696.317
-22.37	-689.817
-22.35	-674.1
-22.27	-663.583
-22.22	-648.983
-22.12	-644.483
-22.12	-624.633
-21.97	-622.8
-20.35	-438.417
-18.5	-281.9
-16.75	-171.617
-14.97	-94.75
-13.97	-58.6
-12.69	-36.4333
-10.9	-3.36667
-8.84	4.56667
-6.85	23.05
-4.81	31.3167
-2.86	47.5167
-0.95	59.9833
-0.66	60.7833
-0.46	56.1667
-0.26	65.8667
0.05	68.3333
0.29	64.3667
0.5	70.6167
2.45	89.8833
4.94	114.367
7.56	156.283
10.07	202.2
12.28	261.917
16.1	414.7
18.22	521.05
21.35	709.917
23.1	805.467
23.26	810.333
23.44	820.783
23.63	829.65
23.85	833.8
24.04	838.117
24.17	845.167
24.35	851.117
24.61	855.35
24.74	855.817
24.89	862.183
25.13	867.133
25.32	867.917
25.52	872.317
25.77	877
26.05	878.533
26.18	852.117
26.24	818.017
26.24	802.65
26.16	789.5
26.12	774.567
26.03	766.2
24.79	586.233
23.38	436.75
21.78	305.95
19.26	150.25
16.89	54.7
9.6	-18.5333
6.19	-39.9
0.06	-81.05
-0.13	-87.45
-3.24	-115.717
-6.5	-151.717
-8.71	-186.75
-10.32	-219.817
-12.09	-264.583
-14.13	-330.45
-16.18	-408.35
-18.14	-500.75
-20.07	-598.417
-21.9	-684.1
-23.54	-762.35
-23.67	-768.233
-23.9	-771.917
-24.05	-782.55
-24.26	-784.667
-24.4	-792.383
-24.67	-795.833
-24.84	-797.583
-24.99	-805.95
-25.19	-805.75
-25.38	-813.833
-25.59	-816.367
-25.78	-817.683
-25.95	-826.583
-26.22	-826.667
-26.37	-833.55
-26.57	-831.433
-26.58	-805.433
-26.6	-797.167
-26.61	-712.1
-26.5	-710.05
-26.49	-696.65
-26.4	-682.517
-26.3	-682.433
-26.28	-664.033
-26.16	-664.35
-26.14	-650.117
-26.04	-639.567
-25.92	-638.967
-25.08	-551.183
-25.06	-531.733
-24.94	-528.367
-20.94	-207.567
-18.81	-103.817
-16.84	-43.4167
-14.47	-21.1667
-12.83	-0.166667
-10.81	18.1833
-5.17	42.7
-0.92	73.8
-0.62	76.9167
-0.31	74.75
-0.14	76.2333
0.12	83.1
0.42	83.2167
3.12	92.7667
6.21	131.45
9.61	182.3
12.46	235.917
15.08	296.55
18.37	420.667
21.3	546.017
23.19	638.717
24.78	727.067
25.89	780.567
26.11	788.033
26.21	794.517
26.4	778.483
26.23	708.9
26.15	700.367
26.09	692.083
26.03	680.75
25.94	671.55
25.88	658.9
25.78	650.667
25.72	638.367
25.63	630.717
25.14	565.6
25.02	557.867
24.96	547.983
24.88	541.65
24.82	533.983
22.45	329.067
21.63	271
21.47	263.067
21.37	252.25
21.22	246.433
21.05	236.367
20.95	227.767
20.82	223.367
20.65	212.867
20.58	206.783
20.42	203.05
20.31	193.833
20.19	190.367
20.06	183
19.98	176.05
19.81	171.933
18.42	111.133
18.3	104.117
18.15	103.333
16.61	59.4
14.33	20.4833
10.96	-10.2
0.55	-53.3833
0.33	-62.5
0.06	-57.1333
-0.11	-65.05
-0.37	-62.1333
-5.57	-102.633
-8.23	-131.7
-10.35	-168.317
-12.66	-201.383
-15.9	-280.317
-19.06	-377.367
-19.23	-384.317
-19.39	-391.75
-19.58	-394.517
-19.7	-407.65
-19.93	-410.15
-20.07	-418.433
-22.55	-531.1
-24.74	-643.35
-26.09	-702.917
-26.23	-715.133
-26.38	-716.383
-26.39	-695.217
-26.19	-587.383
-25.35	-492.033
-24.46	-404.433
-23.24	-314.133
-21.79	-217.1
-20.43	-145.6
-19.56	-123.35
-18.43	-75.45
-17.25	-50.5833
-16.13	-20
-13.03	-4.36667
-3.57	41.6333
-3.29	50.3833
-2.97	51.0333
-2.7	45.1333
-2.47	52.05
-2.17	56.8667
-1.87	52.3333
-1.66	54.1167
-1.4	60.8
-1.07	61.45
-0.85	55.0667
-0.63	62.7
-0.32	67.3833
-0.02	64.2833
0.18	64.5
5.28	106.65
9.27	148.717
12.28	195.9
14.66	239.367
17.42	319.067
18.43	358.45
20.38	433.167
21.93	500.45
23.33	564.8
24.23	611.5
25	661.633
25.77	709.167
26.7	758.15
26.86	765.617
27.05	775.467
27.22	783.567
27.41	788.75
27.58	793.017
27.73	801.333
27.94	811.533
28.26	816.25
28.44	817.133
28.64	822.967
29.38	829.717
29.59	835.933
29.82	837.517
30.03	841.033
30.27	844.383
30.4	816.817
30.51	800.55
30.52	776.7
30.47	766.633
30.43	754.9
30.34	743.75
30.27	730.283
30.18	719.883
30.1	710.1
